vin,vout,delay,frequency,H,phase
2.28,3.963637,2.045454e-05,3815.8584,4.803180536721598,0.4904128439923437
2.28,4.0,1.94e-05,3839.552,4.8825028865501725,0.4680175642235087
2.28,4.021818,1.936364e-05,3868.887,4.92975133008793,0.47070944586008867
2.28,4.076667,1.866667e-05,3914.495,5.0474078165351,0.45911603474018003
2.28,4.11,1.716667e-05,3950.8879,5.118139497512311,0.42614817654222636
2.269091,4.141818,1.845455e-05,3977.914,5.226781958646613,0.46125248379067346
2.258182,4.163636,1.990909e-05,4001.1483,5.314276272046554,0.5005136507890435
2.269091,4.189091,2.1e-05,4023.267,5.325357628598887,0.5308575741264703
2.25,4.22,1.866667e-05,4049.7158,5.462598657006227,0.4749755613228925
2.244,4.244,2e-05,4080.0464,5.535050452903584,0.5127137518618194
2.243333,4.283334,2.066667e-05,4099.3367,5.617763911378692,0.5323091897238295
2.24,4.32,2.081818e-05,4133.2715,5.7047145696149855,0.5406504404087954
2.24,4.32,1.88e-05,4142.9738,5.7047145696149855,0.4893841556339715
2.24,4.34,1.9e-05,4160.8812,5.744834223566957,0.49672816479443554
2.24,4.374546,1.9e-05,4178.2782,5.81369938653695,0.4988050277154266
2.24,4.403636,2.1e-05,4198.7452,5.871267902323154,0.5540113771338471
2.24,4.436666,2.116667e-05,4216.4088,5.93617434324941,0.5607575355241401
2.210909,4.483636,2.3e-05,4257.514,6.141189599158264,0.615267236427962
2.210909,4.530909,2.3e-05,4278.223,6.232289443882917,0.6182599615720688
2.2,4.6,2.281818e-05,4308.2305,6.406703017187355,0.6176746830522792
2.196364,4.643636,2.3e-05,4343.8841,6.503077054605265,0.6277488613238534
2.170909,4.672727,2.390909e-05,4377.82,6.65857578753106,0.6576590732928992
2.16,4.726667,2.5e-05,4415.159,6.8020251120741735,0.6935315539415428
2.163636,4.756363,2.481818e-05,4434.4096,6.841815862904438,0.6914895227789648
2.16,4.786667,2.516666e-05,4459.3694,6.911589285580707,0.7051457612560886
2.16,4.82,2.616667e-05,4485.5677,6.971865741758373,0.7374723491986592
2.16,4.84,2.7e-05,4514.8398,7.00783220986963,0.7659245275819998
2.16,4.880001,2.7e-05,4540.1515,7.0793231969308295,0.7702185563235726
2.13,4.91,2.7e-05,4577.2491,7.254037773684616,0.7765120158953666
2.123636,4.927273,2.7e-05,4596.1131,7.310530930039283,0.7797122181015017
2.108,4.984,2.78e-05,4630.8459,7.474148542212084,0.8088816691396608
2.094545,5.007273,2.863636e-05,4660.2582,7.570231494720784,0.8385088701335337
2.088,5.016,2.82e-05,4674.578,7.612540669848709,0.8282689625535913
2.08,5.065454,2.918182e-05,4713.4666,7.731100817311164,0.8642366440217485
2.08,5.086667,3.066667e-05,4730.3337,7.767399447922027,0.9114613705967018
2.08,5.138182,3.1e-05,4762.5874,7.854922968467003,0.9276507944509976
2.08,5.156363,3.1e-05,4777.1998,7.885602969126464,0.9304969793774591
2.036667,5.2,3.183333e-05,4838.3386,8.141666340652398,0.9677388984180485
2.021818,5.192727,3.318182e-05,4840.2154,8.193068642075485,1.0091245238377182
1.978182,5.229091,3.390909e-05,4866.6522,8.443199079644696,1.0368747853041176
1.976667,5.253334,3.5e-05,4898.3984,8.49003003331892,1.0772140699457198
1.981818,5.305455,3.409091e-05,4915.5023,8.553177333371433,1.0528981586034472
1.96,5.316364,3.5e-05,4953.219,8.667172742812138,1.0892697495414967
1.96,5.316364,3.5e-05,4976.1868,8.667172742812138,1.0943206325639352
1.96,5.341818,3.772727e-05,5020.9018,8.708660316430812,1.1901918606619268
1.96,5.352727,3.7e-05,5052.5272,8.726380453739296,1.1746006926851131
1.956364,5.374546,3.863636e-05,5091.1948,8.777842434888726,1.2359354431696872
1.96,5.370909,3.881818e-05,5109.1012,8.755834455485093,1.2461190721880593
1.92,5.392727,3.881818e-05,5137.0772,8.970144130618475,1.2529424694547904
1.901818,5.378182,3.954546e-05,5165.7263,9.029330826624001,1.2835355207889905
1.909091,5.356364,4.063637e-05,5192.3613,8.960869044793109,1.3257440256734676
1.905455,5.341818,4.081818e-05,5209.6691,8.953807808475641,1.3361143985421509
1.901818,5.334546,4.263636e-05,5253.4855,8.958570218038917,1.4073675292852794
1.89,5.33,4.2e-05,5282.409,9.005308097066564,1.3939948938431546
1.896667,5.316667,4.216667e-05,5302.5968,8.952967438014184,1.4048753061948853
1.887273,5.298182,4.481818e-05,5326.1219,8.965842921318824,1.4998408807090184
1.88,5.272727,4.390909e-05,5362.5115,8.957548733550484,1.47945766248416
1.894545,5.232727,4.463636e-05,5391.8231,8.82446304398404,1.5121827338341194
1.892,5.207999,4.64e-05,5424.2344,8.794995202089522,1.581380202653703
1.887273,5.167273,4.681818e-05,5461.5734,8.748533604832884,1.6066163045703925
1.883636,5.138182,4.772727e-05,5488.8439,8.71625002623566,1.6459905656332279
1.887273,5.112727,4.809091e-05,5515.1062,8.656357538190843,1.666467096479067
1.903333,5.09,4.750001e-05,5542.2534,8.544060097383161,1.6540930919784913
1.896667,5.033333,4.916667e-05,5571.5605,8.47729151621921,1.7211848477138791
1.916363,4.992727,4.954546e-05,5598.5316,8.317200850327408,1.742841397557957
1.912727,4.949091,4.918182e-05,5634.72,8.257449019024135,1.7412326592356533
1.92,4.912727,4.990909e-05,5662.8373,8.16042804757211,1.7757981685675288
1.92,4.88,5.081818e-05,5667.5579,8.10237186598322,1.8096514750177974
1.92,4.858182,5.136364e-05,5687.1124,8.063451037185006,1.8353862486349075
1.92,4.84,5.1e-05,5715.8043,8.030882658817259,1.8315863374201686
1.92,4.789091,5.118182e-05,5732.2316,7.939037213439644,1.8433988932414889
1.92,4.756667,5.1e-05,5761.0322,7.880030402510503,1.8460792765346528
1.938182,4.709091,5.318182e-05,5787.5533,7.71085054068386,1.93391805407695
1.941818,4.676363,5.390909e-05,5815.4652,7.633993862495014,1.9698190377766072
1.96,4.618181,5.372727e-05,5849.5229,7.444297576545511,1.9746725430828738
1.963333,4.503333,5.35e-05,5895.9513,7.210801916459836,1.9819264700303412
1.976,4.428,5.48e-05,5938.8492,7.008413439101516,2.044855973917739
1.985455,4.381818,5.409091e-05,5967.6514,6.875885735185014,2.028185166717651
1.978182,4.309091,5.481818e-05,5996.5009,6.762388397870062,2.065391494102462
1.996364,4.276364,5.554546e-05,6026.2312,6.616698702267466,2.1031692611462316
2.0,4.207273,5.7e-05,6060.2911,6.459413952193936,2.1704421238148193
2.0,4.203637,5.645454e-05,6076.135,6.451904206710665,2.155292193500008
2.0,4.143333,5.7e-05,6102.3322,6.326396866375631,2.185498789058426
2.036364,4.101819,5.681818e-05,6131.1962,6.082421634328481,2.188831854916203
2.013333,4.05,5.7e-05,6146.2881,6.070788224325302,2.201241223765926
2.036364,4.0,5.7e-05,6172.2864,5.864091611988911,2.21055229555051
2.069091,3.981818,5.681818e-05,6191.1732,5.686036277375757,2.210243593161068
2.08,3.956364,5.7e-05,6212.548,5.584658129718145,2.2249716478836317
2.094545,3.912727,5.790909e-05,6237.7255,5.427797037672927,2.2696185261819206
2.084,3.892,5.7e-05,6252.012,5.425502339376548,2.2391053465064963
2.1,3.816,5.8e-05,6283.1447,5.187781425962764,2.2897334227915507
2.12,3.808,5.78e-05,6299.1966,5.087221575673705,2.287667328496194
2.101818,3.767272,5.790909e-05,6325.2386,5.068637414335439,2.301460477714352
2.12,3.716363,5.736364e-05,6345.3028,4.8756453334835985,2.2870145182988506
2.12,3.673333,5.566667e-05,6371.1052,4.774488789153759,2.228383258563989
2.12,3.629091,5.663636e-05,6390.2146,4.669239948149543,2.2740009674338917
2.12,3.589091,5.736364e-05,6411.687,4.572972178219786,2.3109411351949984
2.12,3.563636,5.7e-05,6426.6011,4.511149532354301,2.3016329595775775
2.12,3.552727,5.681818e-05,6443.4534,4.484519512417545,2.300307411070635
2.128,3.488,5.7e-05,6479.8175,4.29209705275038,2.320691964224694
2.134545,3.476364,5.7e-05,6494.4494,4.236398578771505,2.325932255753173
2.16,3.458182,5.7e-05,6508.3137,4.087881895795774,2.3308976378182695
2.164,3.408,5.72e-05,6537.8984,3.9448465932026133,2.3497089139359795
2.16,3.386667,5.766667e-05,6559.0446,3.9063748964564975,2.3765410807573155
2.163636,3.345455,5.772727e-05,6583.947,3.7854198723015893,2.3880708870929475
2.170909,3.298182,5.663637e-05,6614.6793,3.632659961170468,2.353878660556779
2.170909,3.265455,5.718182e-05,6628.2966,3.546041683549714,2.3814407251490057
2.2,3.207273,5.790909e-05,6663.3958,3.274264948183042,2.4245001731741485
2.193333,3.176666,5.883334e-05,6688.0721,3.217339637679375,2.4723179321965483
2.174546,3.203637,5.718182e-05,6693.9685,3.3654940350849616,2.4050355861813126
2.178182,3.156364,5.718182e-05,6722.6091,3.221858331389588,2.4153256946886335
2.183333,3.11,5.766667e-05,6738.7361,3.072808201184458,2.4416487690954773
2.193333,3.036667,5.733333e-05,6780.0001,2.8258519406705456,2.4423996866304547
2.2,3.048,5.76e-05,6791.3311,2.831845636907132,2.4578606467417985
2.196364,3.047273,5.754545e-05,6804.4256,2.844140939498537,2.4602674949117533
2.2,2.967273,5.718182e-05,6835.4051,2.5986964803632535,2.455851489511078
